id,type,URL,rgb_color
25,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28354.jpg,"rgb(64, 64, 64): 0.40; rgb(192, 192, 192): 0.33; rgb(32, 32, 32): 0.13; rgb(160, 160, 160): 0.07; rgb(224, 224, 224): 0.06"
26,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP702960.jpg,"rgb(0, 32, 32): 0.41; rgb(0, 0, 32): 0.15; rgb(32, 64, 64): 0.13; rgb(32, 32, 64): 0.13; rgb(0, 32, 64): 0.11; rgb(32, 64, 96): 0.07"
27,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP102600.jpg,"rgb(96, 96, 96): 0.34; rgb(64, 64, 64): 0.26; rgb(128, 128, 128): 0.16; rgb(160, 160, 160): 0.15; rgb(32, 32, 32): 0.10"
28,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/246ed846_2a0c_4cde_9257_a3ba016d286a/mid_00267196_001.jpg,"rgb(224, 224, 224): 0.41; rgb(32, 32, 32): 0.20; rgb(192, 192, 192): 0.18; rgb(0, 0, 0): 0.11; rgb(64, 64, 64): 0.09"
29,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/c641ecb5_e885_40b2_9e49_a3ba0168c4bd/mid_00265991_001.jpg,"rgb(224, 224, 224): 0.38; rgb(0, 0, 0): 0.34; rgb(192, 192, 192): 0.10; rgb(32, 32, 32): 0.09; rgb(0, 0, 32): 0.09"
30,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/4826923d_5825_4dad_9660_a3ba016d229a/mid_00267194_001.jpg,"rgb(224, 224, 224): 0.51; rgb(0, 0, 0): 0.23; rgb(32, 32, 32): 0.16; rgb(192, 192, 192): 0.10"
31,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/c6f14d1a_46dd_45e1_9c47_a3bc006d046d/mid_00390545_001.jpg,"rgb(0, 0, 32): 0.45; rgb(0, 0, 0): 0.36; rgb(0, 32, 32): 0.12; rgb(0, 32, 64): 0.08"
32,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/f90a20f3_22ee_466d_88a5_a3bb0168325a/mid_00381041_001.jpg,"rgb(32, 32, 32): 0.39; rgb(0, 32, 32): 0.30; rgb(0, 0, 32): 0.30"
33,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/da074af8_1046_4ba9_adb3_a3be01070456/mid_00442847_001.jpg,"rgb(64, 64, 96): 0.15; rgb(64, 64, 64): 0.14; rgb(32, 32, 64): 0.14; rgb(96, 96, 96): 0.13; rgb(32, 64, 64): 0.12; rgb(128, 128, 128): 0.12; rgb(64, 96, 96): 0.10; rgb(160, 160, 160): 0.10"
34,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/e1fdac8f_0d66_4202_bdcb_a3ba0159e97d/mid_00262142_001.jpg,"rgb(32, 32, 32): 0.23; rgb(192, 192, 192): 0.17; rgb(96, 96, 128): 0.15; rgb(224, 224, 224): 0.15; rgb(128, 128, 160): 0.11; rgb(160, 160, 192): 0.10; rgb(64, 64, 96): 0.09"
35,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/831a3f7c_46fe_49b2_bc0f_a3ba01641638/mid_00264778_001.jpg,"rgb(224, 224, 224): 0.42; rgb(0, 0, 0): 0.26; rgb(32, 32, 32): 0.18; rgb(192, 192, 192): 0.14"
